election_id,event_number,electoral_district_number_numéro_de_circonscription,ballot_sequence_number,candidate_candidat,candidate_first_name_prénom_du_candidat,candidate_middle_name_second_prénom_du_candidat,candidate_family_name_nom_de_famille_du_candidat,candidate_gender_code,candidate_occupation_english_anglais,profession_du_candidat_français_french,incumbent_indicator,elected_indicator,candidate_residence_résidence_du_candidat,candidate_province_english_anglais,province_du_candidat_français_french,party_abbreviation_english_anglais,abréviation_de_parti_français_french
GE.36.1997,3600,ED12-002,6,Peter Stewart,Peter,Peter,Stewart,M,Retired,Retraité,N,N,Truro,Nova Scotia,Nouvelle-Écosse,NDP,NPD
GE.36.1997,3600,ED12-003,1,John Millar Cody,John,John,Cody,M,Retired Military,Militaire retraité,N,N,Dartmouth,Nova Scotia,Nouvelle-Écosse,Reform,Réforme
GE.36.1997,3600,ED12-003,2,Wendy Lill,Wendy,Wendy,Lill,F,Writer,Écrivaine,N,Y,Dartmouth,Nova Scotia,Nouvelle-Écosse,NDP,NPD
GE.36.1997,3600,ED12-003,3,Rob McCleave,Rob,Rob,McCleave,M,Barrister and Solicitor,Avocat,N,N,Dartmouth,Nova Scotia,Nouvelle-Écosse,PC,PC
GE.36.1997,3600,ED12-003,4,Michael Savage,Michael,Michael,Savage,M,General Manager,Directeur général,N,N,Dartmouth,Nova Scotia,Nouvelle-Écosse,Liberal,Libéral
GE.36.1997,3600,ED12-003,5,Claude Viau,Claude,Claude,Viau,M,Teacher,Enseignant,N,N,Halifax,Nova Scotia,Nouvelle-Écosse,NLP,PLN
GE.36.1997,3600,ED12-003,6,Cliff Williams,Cliff,Cliff,Williams,M,Businessman,Homme d'affaires,N,N,Dartmouth,Nova Scotia,Nouvelle-Écosse,Independent,Indépendent
GE.36.1997,3600,ED12-004,1,Gilles Bigras,Gilles,Gilles,Bigras,M,Teacher,Enseignant,N,N,Halifax,Nova Scotia,Nouvelle-Écosse,NLP,PLN
GE.36.1997,3600,ED12-004,2,Mary Clancy,Mary,Mary,Clancy,F,Community Activist,Activiste communautaire,Y,N,Halifax,Nova Scotia,Nouvelle-Écosse,Liberal,Libéral
GE.36.1997,3600,ED12-004,3,Terry Donahoe,Terry,Terry,Donahoe,M,Politician,Politicien,N,N,Halifax,Nova Scotia,Nouvelle-Écosse,PC,PC
GE.36.1997,3600,ED12-004,4,Steve Greene,Steve,Steve,Greene,M,Businessman,Homme d'affaires,N,N,Halifax,Nova Scotia,Nouvelle-Écosse,Reform,Réforme
GE.36.1997,3600,ED12-004,5,Alexa McDonough,Alexa,Alexa,McDonough,F,Social Worker-Politician,Travailleuse sociale-Politicienne,N,Y,Halifax,Nova Scotia,Nouvelle-Écosse,NDP,NPD
GE.36.1997,3600,ED12-004,6,Tony Seed,Tony,Tony,Seed,M,Journalist-Designer,Journaliste-Designer,N,N,Halifax,Nova Scotia,Nouvelle-Écosse,M-L,M-L
GE.36.1997,3600,ED12-005,1,Gordon Earle,Gordon,Gordon,Earle,M,Retired Senior Public Servant,Fonctionnaire cadre retraité,N,Y,Upper Tantallon,Nova Scotia,Nouvelle-Écosse,NDP,NPD
