Geography,Reference period,Household final consumption expenditure,Food and non-alcoholic beverages,Food,Non-alcoholic beverages,"Alcoholic beverages, tobacco and cannabis",Alcoholic beverages,Tobacco,Cannabis products for non-medical use (licensed),Cannabis products for non-medical use (unlicensed),Clothing and footwear,"Clothing materials, other articles of clothing and clothing accessories",Garments,Cleaning of clothing,Footwear,"Housing, water, electricity, gas and other fuels",Paid rental fees for housing,Imputed rental fees for housing,Materials for the maintenance and repair of the dwelling,Services for the maintenance and repair of the dwelling,Water supply and sanitation services,Electricity,Gas,Other fuels,"Furnishings, household equipment and other goods and services related to the dwelling and property",Furniture and furnishings,Carpets and other floor coverings,Household textiles,Major household appliances,Small electric household appliances,Major tools and equipment,Small tools and miscellaneous accessories,Other semi-durable household goods,Other non-durable household goods,Repair of personal and household goods except vehicles,Renting and leasing of personal and household goods except passenger vehicles,Other services related to the dwelling and property,Health,Pharmaceutical products and other medical products (except cannabis),Cannabis products for medical use,Therapeutic appliances and equipment,Out-patient services,Hospital services,Transport,New passenger cars,"New trucks, vans and sport utility vehicles",Used motor vehicles,Other vehicles,Spare parts and accessories for vehicles,Fuels and lubricants,Maintenance and repair of vehicles,Parking,Passenger vehicle renting,Other services related to the operation of transport equipment,Urban transit and interurban bus,Taxi and limousine,Air transport,Railway and water transport,Other transport services,Communications,Postal services,Telecommunication equipment,Telecommunication services,Recreation and culture,Audio-visual and photographic equipment,Information processing equipment,Recording media,Major durables for outdoor recreation,Musical instruments and major durables for indoor recreation,"Games, toys and hobbies","Equipment for sport, camping and open-air recreation","Garden products, plants and flowers",Pets and pet food,Veterinary and other services for pets,Recreational and sporting services,"Cable, satellite and other program distribution services",Cinemas,Photographic services,Other cultural services,Games of chance,Books,Newspapers and periodicals,Miscellaneous printed matter and stationery and drawing materials,Education,University education,Other education,"Food, beverage and accommodation services",Food and non-alcoholic beverage services,Alcoholic beverage services,Accommodation services,Insurance and financial services,Life insurance,Property insurance,Health insurance,Insurance related to transport,Implicit loan charges,Implicit deposit charges,Stock and bond commissions,Other actual financial charges,Trusteed pension funds,Mutual funds,Miscellaneous goods and services,Personal grooming services,Electrical appliances for personal care,"Other appliances, articles and products for personal care","Jewellery, clocks and watches",Other personal effects,Child care services outside the home,Child care services in the home,Other social services and funeral services,Legal and other services,Net expenditure abroad,Expenditure by Canadians abroad,Expenditure by Canadians in other provinces or territories,Expenditure by non-residents in Canada,Expenditure by Canadians residing in other provinces or territories
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,"1,122,079.00","102,409.00","91,555.00","10,854.00","42,951.00","21,266.00","15,963.00",..,"5,722.00","46,569.00","4,108.00","33,631.00","1,504.00","7,326.00","267,684.00","57,120.00","171,489.00","2,876.00",450,"7,198.00","18,661.00","6,754.00","3,136.00","59,377.00","16,619.00",689,"3,394.00","5,833.00","1,939.00","2,716.00","2,565.00","7,086.00","7,634.00","2,748.00","3,123.00","5,031.00","47,520.00","19,855.00",85,"3,925.00","20,539.00","3,116.00","165,448.00","19,121.00","35,318.00","14,341.00","2,983.00","15,255.00","39,537.00","9,934.00","2,877.00","1,182.00","2,354.00","5,515.00","1,210.00","12,430.00",689,"2,702.00","29,520.00","1,820.00","1,037.00","26,663.00","91,336.00","6,475.00","4,126.00","2,571.00","6,577.00","1,157.00","5,857.00","5,215.00","3,364.00","4,196.00","3,032.00","10,617.00","9,908.00","1,167.00","1,017.00","2,998.00","15,993.00","2,960.00","1,939.00","2,167.00","18,177.00","8,885.00","9,292.00","77,141.00","55,417.00","10,656.00","11,068.00","98,811.00","10,266.00","2,454.00","6,598.00","7,174.00","13,274.00","11,952.00","4,572.00","16,864.00","6,293.00","19,364.00","57,757.00","8,648.00",664,"15,198.00","4,473.00","3,224.00","5,158.00","1,196.00","10,082.00","9,114.00","17,379.00","46,897.00","11,474.00","-29,518.00","-11,474.00"
,2016,"1,153,668.00","104,944.00","94,038.00","10,906.00","44,174.00","22,022.00","16,691.00",..,"5,461.00","47,270.00","4,261.00","34,007.00","1,448.00","7,554.00","276,531.00","59,480.00","177,905.00","2,999.00",469,"7,711.00","19,346.00","6,059.00","2,562.00","61,778.00","17,398.00",739,"3,513.00","6,201.00","2,027.00","2,921.00","2,641.00","7,303.00","7,948.00","2,784.00","3,225.00","5,078.00","49,661.00","20,245.00",279,"4,278.00","21,648.00","3,211.00","170,487.00","18,345.00","39,528.00","15,411.00","3,141.00","16,047.00","37,767.00","10,206.00","3,014.00","1,234.00","2,490.00","5,643.00","1,248.00","12,882.00",731,"2,800.00","30,725.00","1,770.00","1,125.00","27,830.00","93,110.00","6,602.00","4,200.00","2,476.00","6,832.00","1,187.00","5,869.00","5,369.00","3,515.00","4,444.00","3,197.00","11,217.00","10,015.00","1,157.00",992,"3,100.00","16,028.00","3,028.00","1,808.00","2,074.00","19,261.00","9,486.00","9,775.00","81,375.00","58,502.00","11,020.00","11,853.00","101,962.00","10,569.00","2,305.00","6,792.00","7,094.00","13,823.00","12,135.00","4,818.00","17,224.00","6,625.00","20,577.00","59,759.00","8,684.00",687,"15,939.00","4,699.00","3,274.00","5,413.00","1,221.00","10,585.00","9,257.00","12,631.00","46,680.00","12,385.00","-34,049.00","-12,385.00"
,2017,"1,208,438.00","108,978.00","97,686.00","11,292.00","44,989.00","22,900.00","17,148.00",..,"4,941.00","48,452.00","4,340.00","34,853.00","1,467.00","7,792.00","286,401.00","61,838.00","184,491.00","3,173.00",489,"8,221.00","18,768.00","6,805.00","2,616.00","64,617.00","17,978.00",782,"3,652.00","6,802.00","2,152.00","3,169.00","2,882.00","7,636.00","8,342.00","2,738.00","3,257.00","5,227.00","52,041.00","20,899.00",584,"4,555.00","22,670.00","3,333.00","186,467.00","18,932.00","44,641.00","17,184.00","3,336.00","17,483.00","42,377.00","10,670.00","3,174.00","1,288.00","2,590.00","5,824.00","1,291.00","14,015.00",783,"2,879.00","32,470.00","1,779.00","1,232.00","29,459.00","96,584.00","7,080.00","4,497.00","2,357.00","7,421.00","1,197.00","5,738.00","5,624.00","3,717.00","4,764.00","3,443.00","11,766.00","10,144.00","1,136.00","1,052.00","3,271.00","16,472.00","3,180.00","1,702.00","2,023.00","20,510.00","10,190.00","10,320.00","85,766.00","61,688.00","11,366.00","12,712.00","106,789.00","11,003.00","2,793.00","7,061.00","7,313.00","14,271.00","12,368.00","5,134.00","17,723.00","6,893.00","22,230.00","62,461.00","8,899.00",720,"16,773.00","4,983.00","3,383.00","5,700.00","1,239.00","11,167.00","9,597.00","11,913.00","48,850.00","13,512.00","-36,937.00","-13,512.00"
Newfoundland and Labrador,1997,"7,367.00",909.1,786.8,122.3,509.9,214.8,210.8,..,84.2,362.4,32.9,280.8,7.3,41.4,"1,683.20",225.1,"1,020.00",22,2.1,15.6,277,2.7,118.8,430.1,120,3.4,29.2,42.3,12.7,24.4,19.1,48.8,73,16.5,22,18.5,183.8,106.5,..,16.4,47.8,13.1,"1,018.90",203.9,178.2,78.9,11.6,85.1,263.2,53,3.1,7.9,7.2,8.2,9.5,84.6,9.2,15.4,173.9,12.8,4.3,156.9,630.5,65.2,27.3,22.8,48.1,9.1,41.9,33,18.8,24.2,7.6,38,50.9,5.1,11.4,11.3,154.3,20.3,21.3,19.9,84,45.4,38.6,472.8,295.4,110.9,66.5,501.5,89.9,21.9,37.3,61,112.2,64,20,48.8,13,33.4,398.3,52.6,5.1,124.5,28.7,22,23.4,20,71.1,50.9,8.6,89.2,128.8,-95.4,-114
,1998,"7,594.00",917.8,789.1,128.7,514.7,222.8,209.7,..,82.3,372.4,34,288.7,7.4,42.3,"1,694.30",231,"1,047.00",22.6,2.2,18.6,267.9,2.4,102.6,449.2,126.3,3.6,30.3,44.8,13.6,25.5,19.5,51.5,74.5,17.8,22.2,19.6,200.8,110.7,..,17.1,55.4,17.6,"1,043.80",203.9,190.5,80.4,12.9,91.3,258.1,54.6,3.3,7.9,7.1,8.6,9.1,89.2,10.8,16.1,188.8,13.6,4.6,170.5,676.3,66.5,28.3,24.9,51.3,9.6,45.9,34.6,18.6,25.6,8.1,42.2,55.9,5.5,11.8,12.6,170.4,22.8,21.4,20.3,89.5,48.6,40.9,512.7,328.1,117.5,67.1,525.1,90,22.9,48.2,59.6,116.1,62,20.4,54.8,14.3,36.9,407.8,56,5.4,125.7,29.4,23.5,23.7,20.6,69.2,54.2,0.5,89.3,140.6,-111.6,-117.9
,1999,"8,006.00",932.2,800.2,132,521.8,233,203.5,..,85.3,393.2,35.5,305.9,7.1,44.7,"1,740.50",237.9,"1,075.40",24.2,2.4,19.7,269.6,2.5,108.8,481.3,139.9,3.8,31,48.8,14.8,26.4,20.6,55.5,77.3,19.3,23,21.2,224.1,123.1,..,18.8,64,18.1,"1,170.80",247.5,214.1,84.8,12.9,98.6,282.4,58.1,3.4,8.2,7.3,9.3,10.6,103.5,13.2,17,190,14.6,5.1,170.4,722.8,71.9,30.8,26.7,55.2,10.4,49.1,37,19.4,26.8,9.1,46.6,63.9,5.4,12.2,13.9,177.8,23.6,21.6,21.4,94.4,49.8,44.6,541.2,347.8,122.1,71.3,571.8,94.1,25.2,48.4,70,124.7,61,22.3,62.9,16.2,47,430.8,59.5,5.9,131,32.1,24.8,25.3,21.2,75,56,-9,90,140.2,-115.9,-123.3
,2000,"8,484.00",962,830.7,131.4,534.1,240,205.2,..,88.8,409.3,37,319.5,7.1,45.8,"1,820.90",243.9,"1,116.20",25.4,2.7,21.2,276.2,3.1,132.2,509.8,150.1,4.1,32.2,51,15.5,28,21.5,58.7,79.8,20.8,25,23.1,251,139.7,..,21.4,70.1,19.8,"1,267.80",261.3,203.8,89.8,12.9,106.9,342.7,62.7,3.7,8.6,7.5,9.8,10.5,116.4,13.2,18,203.2,15.2,6.3,181.7,769.9,77.7,34.6,26.8,60.6,11.3,52.5,39.6,21.5,28.4,10.3,48.6,69.2,5.7,12.6,14.5,186.8,24.4,22.1,22.7,90.3,49.7,40.6,565.4,366.1,125.5,73.9,624.4,97.1,25,54.6,65,134.8,62,27.3,71.6,18,69.1,457,63.5,6.2,137.1,35.3,26.4,26.7,21.2,85.4,55.2,18.7,99.3,197.1,-120.6,-157
,2001,"8,841.00","1,021.80",881.2,140.6,537.9,237.1,208.4,..,92.3,440.9,39.6,345.4,7,48.9,"1,858.40",248.4,"1,158.60",26.6,2.9,22.1,266.1,3.3,130.5,550.4,162.6,4.5,34.8,54.1,17,30.7,22.8,64.1,86.6,22.1,26.2,25,274.2,150.8,0,23.6,76.8,23.1,"1,309.60",282.4,213,98.1,13.8,115.8,334.4,67.9,3.8,9.1,7.9,10.7,11,109.9,12.9,18.8,224.4,15.2,6.8,202.4,822.3,82.9,34.7,28.9,66.9,11,57.4,42.1,22.5,29.8,10.8,48.3,77.1,6.4,13,14.4,203,25.6,22.8,24.5,91,49.1,41.9,587.4,378.3,131.3,77.8,632.1,96.5,23.9,55.5,59.4,143.6,62,20.9,78.1,20.5,71.7,493.5,67,6.8,153.5,38,28.6,28.5,21,88.5,61.6,-3,105.9,193.4,-126.4,-175.8
,2002,"9,242.00","1,042.80",897.9,144.9,586,249.3,242.2,..,94.5,445.5,39.8,349.4,6.5,49.8,"1,920.90",257.4,"1,198.40",26.5,3.2,25.1,284.7,3.3,122.3,563.9,162,4.6,35.7,55.5,17.3,30.5,24.1,66.6,90.9,23.6,27.4,25.8,295,166.5,0,25.2,79,24.3,"1,380.30",293.8,251.9,100.4,14.7,124.8,340.4,70,4.2,9.8,8.1,10.9,11,106.8,15.2,18.3,237.7,15.9,7,214.8,854.5,80,32.7,29.7,71.5,11,62,44.1,23.4,30.9,11.9,50,81,7.2,12.7,14.9,216.3,27.4,22.6,25.2,92.9,49.2,43.7,614.2,397.2,135.2,81.8,664.5,93.5,23.9,62.3,65.6,149.1,66,19.3,86.9,24,74,524,72.1,7,163.5,39.6,31.1,30.1,21.1,93.8,65.6,19.9,111.5,216.8,-134,-174.3
,2003,"9,695.00","1,079.80",927.9,151.8,643.3,271.1,275.5,..,96.7,460,40.3,361.1,6.8,51.8,"2,013.10",267.4,"1,248.00",25.9,3.4,25.7,306.4,3.5,132.8,589.4,168,4.6,35.9,57.8,17.8,33.5,27.6,68.6,94.8,24.8,28.8,27.1,319.8,179.1,0,26.5,87.6,26.6,"1,453.30",274.2,268.4,134.3,13,132.9,361.6,75.8,4.5,10.3,8.4,11,11.5,113.7,14,19.5,250.6,16.5,7.3,226.8,890.5,81.1,33,31.3,79,11.4,64.3,46.2,24.4,32.2,12.6,53.4,87.3,8.2,13,15.9,221.4,27.5,22.5,25.7,95.8,50.4,45.4,637.1,414.2,139.6,83.3,694.2,95.5,27,66.2,73.7,155.4,72,22,91.3,25.2,65.9,545.6,75.8,7.2,171.9,41.9,31.5,30.3,20.9,99.4,66.7,22.7,117.6,215.5,-118.6,-191.9
,2004,"9,997.00","1,112.80",958.7,154.1,640.7,265.5,277.5,..,97.8,470.4,40.8,369,6.5,54,"2,111.40",278.1,"1,304.70",27.6,3.6,26.9,328.6,3.3,138.6,612.8,178,4.7,36.8,59.2,18.8,34.8,29.2,69.9,97,26.4,29.9,28.3,342.7,190.9,0,28.9,93.8,29.1,"1,436.40",241.3,268.1,129.9,10,133.8,375.3,77.6,4.8,10.5,8.9,11.5,12.1,118.6,13.9,20.3,261.5,17.9,7.4,236.3,926.8,82,33.7,32.9,79.1,11.7,66,46.4,24.9,33.6,13.5,54.3,94.7,8.7,12.8,16.6,239.4,27.5,22.4,26.8,97.6,52,45.5,648.7,427,137.2,84.6,742.5,94.2,30.4,69.7,84.7,162.2,73,25.5,97.7,28.1,76.9,565.9,77.3,7.7,181.6,42.6,32.9,30.6,20.2,100.3,72.6,26.6,128.9,217.5,-128,-191.9
,2005,"10,365.00","1,121.00",960.6,160.5,650,279.9,273.7,..,96.4,476.5,40.6,374.3,6.2,55.3,"2,212.10",286,"1,367.00",28.1,3.9,28.1,354.7,3.4,140.8,619.6,180.2,4.8,35.8,59.1,19.2,36.1,29.8,70.2,97.4,27.3,30.2,29.4,361.3,197.5,0,29.2,103.8,30.8,"1,539.60",256.5,274.6,143.7,8.1,136,426.9,78.6,4.9,10.8,9.3,12.1,12.4,131,13.9,20.8,262.7,18.2,7.6,236.8,934.7,83.3,34.6,33.5,79.9,11.9,68.5,47,25.1,37.2,14.9,56.5,101.6,8.3,12.3,17.3,225.5,27.5,21.7,28.1,103.9,54.1,49.8,678.3,448,140,90.4,789.8,95.8,30.8,73.8,87.6,176.2,75,29.8,103.3,30.2,87.3,582,81.7,8,185,42.3,33.4,32.4,19.6,104.1,75.6,33.7,137.2,223.7,-133.6,-193.7
,2006,"10,804.00","1,157.70",991.8,165.9,657.5,292.9,273.7,..,90.9,492.4,41.5,387,6,57.9,"2,312.40",297.9,"1,444.00",29.4,4.2,32.4,365.4,3.2,135.8,646.2,191,4.8,36.8,60.5,19.5,37.1,31.4,72.7,101.3,28.5,31.4,31.3,393.5,217.2,0,32.5,111.7,32.1,"1,633.60",262.1,298.4,140.8,6.6,139.9,470.9,79.5,4.9,11.3,9.8,12.6,12.6,147.6,13.6,22.8,281.5,18.8,7.9,254.8,948.5,85.5,34.7,34.3,81,11.9,72.9,49.4,24.9,37.7,15.7,60.6,107,7.6,12,18.4,217.3,27.9,20.7,29.1,105.6,54,51.5,695.2,461.8,140,93.4,830.3,97.2,32.7,75.4,91.2,183.3,80,34,112.4,31.7,92.5,604.4,85.6,8.1,193.1,43.3,35.7,35,18.3,109.4,75.8,45.3,146.1,229.3,-138.4,-191.7
,2007,"11,506.00","1,173.90","1,012.20",161.6,671.9,309.9,278,..,84,517.3,42.2,407.3,6.1,61.7,"2,461.50",311.7,"1,532.30",31.7,4.5,33.8,391.4,3.7,152.4,683.2,205,5,39.1,64.8,20.4,38.9,33.5,74.5,105.4,29.6,32.7,34.3,417,232.7,0,34.2,116.4,33.7,"1,878.50",302.9,368.2,173.8,9.5,168,514.5,91.9,5.1,12.4,10.4,13,12.8,156.3,13.9,25.8,298.2,19.3,8.2,270.7,970.1,88.8,36.3,36.9,91.2,12.7,79.9,52.7,26.2,39,18,65.4,115.5,8.2,11.5,19.4,190.7,28.1,20.2,29.4,106,53.6,52.4,733.7,489.3,140.9,103.5,894.1,100.7,35.8,84.8,94.5,192,77,36.9,125.1,36.7,110.6,634.8,90.1,8.6,200.6,45.4,37,38.3,17,117.1,80.7,65.7,159.2,233.1,-138,-188.7
,2008,"12,227.00","1,218.00","1,055.40",162.5,698.6,329.8,286.5,..,82.3,540.5,43.6,425.6,6.2,65.1,"2,623.70",324.8,"1,613.10",34.2,4.9,36.9,413.9,4.1,191.9,730.9,221.2,5.3,42.4,70.7,22.4,43.2,36.8,77.6,109.9,30.4,35.2,35.9,444.9,246.9,0,37.4,124.6,36,"2,117.20",337.8,404.3,183.6,14.5,183.4,622.6,100.6,5.4,12,10.7,13.8,14.1,171.2,15.5,27.8,324.9,19.7,9.2,296,"1,043.10",95.4,38,39.6,90.1,13.2,90.5,55.8,28,42.1,19.9,71,127.3,8.9,11.3,21.2,212.2,28.5,20.2,30,107.2,54,53.2,756.3,500.4,145.7,110.2,880.5,106.3,31.2,90,72.2,181.9,88,36.4,132.4,39.6,102.6,668.7,96.3,9.2,210.7,49.9,39.8,38.8,17.1,121.7,85.2,72.4,176.7,235.7,-151.1,-189
,2009,"12,642.00","1,289.80","1,117.10",172.7,738,356.3,303.2,..,78.5,557.2,44.3,436.8,6.4,69.8,"2,771.30",353.3,"1,776.40",37,5.2,41,414.8,3.6,140.2,764.3,224.8,5.4,43.3,76.1,24.6,46.3,39.8,81.1,116.2,31,38.5,37.3,474.9,264.4,0,40.1,132.8,37.6,"2,051.40",306.4,445.1,174.6,13.4,190.8,562.7,104.6,5.7,12.3,11.2,14.2,14.8,153.5,15.7,26.5,358.6,20.2,10.3,328.1,"1,090.50",95.8,40.7,39.9,85.3,13.5,91.4,58.8,30.5,47.9,20.9,75.4,135,10.3,12.2,23,226.7,30.2,21.2,32.1,109.3,56.1,53.2,780.1,521.2,143.6,115.3,844,112,31.5,93,77,162,83,35.6,118.5,36.5,94.8,705,96.9,9.8,223.7,50.7,41.3,42.6,17.3,129.1,93.5,107.6,172.5,252.4,-132.7,-184.7
,2010,"13,344.00","1,318.10","1,141.00",177.1,770.3,367.5,325.6,..,77.3,568.1,44.9,444.7,6.1,72.5,"2,913.70",367.2,"1,873.00",37.2,5.6,44.2,427.6,3.5,155.4,785.4,240,5.4,43.8,77.7,25.1,45.8,40.1,82.3,114.5,32,39.1,39.6,499.2,273.4,0.1,41.1,144.9,39.7,"2,310.10",318.5,561.7,199.2,13.1,198.8,630.6,107.6,6,12,11.8,14.4,15,179.2,15.3,26.9,369.6,20.7,10.8,338.1,"1,119.40",99.1,45.5,38.1,91.8,13.6,89.3,60.9,30.9,49,23.7,77.9,140.5,10.7,12.6,23.7,227.7,31.1,21.4,31.8,112.8,58.4,54.4,836.6,568,147.3,121.3,895.3,113,33.1,95.5,74,172.5,95.3,37.5,117.7,46,110.8,737.4,103.1,10,225.1,52.9,42.3,47.2,18.6,139.1,99.1,108.1,202,248,-145.8,-196.1
,2011,"14,054.00","1,373.90","1,190.10",183.9,776.5,379.1,317,..,80.4,580.4,46.3,450.7,6,77.5,"3,145.40",387.5,"2,009.50",36,5.8,48,454.4,3.6,200.5,804.4,244,5.5,45,82,25.2,47.3,41.5,84.5,117.7,32.3,37.6,41.8,519.2,282.3,0.1,43.5,150.5,42.9,"2,487.50",318.2,605.2,197.7,14.9,204.8,723.2,113,6.3,12.7,12.7,15,15.3,204.5,15.4,28.7,399.1,21.8,11.4,365.9,"1,150.20",100.8,47.1,32.6,94.5,14,91.4,63.3,32.5,49.8,25.6,83.2,151.5,10.5,13,25.3,230.3,31.9,21.5,31.3,116.5,59,57.6,883.4,600.1,150.9,132.4,924,113.1,39.3,96.2,74.1,167,100,39,123.7,51,120.6,775.1,106.8,10.5,232.6,56.2,40.7,51.3,19.1,150.5,107.2,118.4,208.5,266.9,-150.9,-206.1
,2012,"14,733.00","1,424.90","1,239.30",185.6,824.4,402.6,337.4,..,84.4,589,49.5,450.2,5.9,83.4,"3,315.30",410.5,"2,154.00",38.1,6.4,51.6,462.7,3,189,820.7,243.7,5.9,47.8,89,27.7,46.1,40.8,90.3,119.5,31.1,36,42.9,553.8,301.4,0.1,46.3,160.4,45.6,"2,663.00",369.6,637.3,217.8,12.3,210.3,758.8,120.1,6.8,13,13.2,16.6,16.1,223.7,17,30.4,422.8,22.7,12.5,387.6,"1,196.40",97.5,48.2,31.9,105,14.1,93.7,66.2,35.6,52.7,26.7,87.8,158.8,11.8,13.1,27.7,239.2,31.8,20.3,34.1,120.6,61.2,59.4,941.4,639.3,162.6,139.5,933.3,115.1,42.2,104.3,81,156,91,41,132,51.9,118.9,795,109.4,11.6,228.3,55.3,44.2,54.2,19.2,158.2,114.5,132.5,226.6,273,-157,-210.1
,2013,"15,409.00","1,486.90","1,295.50",191.4,840.9,400.9,355.1,..,84.8,609.5,53.9,466.7,5.8,83.1,"3,458.90",434.3,"2,283.20",38.6,7.2,53.4,473.1,3.3,165.8,853.4,257.1,5.8,46.8,89,30.4,47.6,42.9,97.4,124.1,31.9,36,44.5,585.3,316.7,0.2,48.7,171.9,47.9,"2,814.70",356.4,681.7,237.6,13.6,225.9,824,127,7.5,13.1,13.3,17,17.3,232.7,16.3,31.4,438.1,23.5,11.6,403,"1,219.10",93.9,47.5,30.7,116.6,13.6,92.8,63.6,37.3,55.9,28.2,91.1,163.4,10.9,13.7,29.6,244.8,30.1,20.5,35.1,123.8,61.8,62.1,"1,003.90",691.4,165.7,146.9,993.9,119.7,45.9,107.1,83.2,157.5,96.9,44.6,139.3,59.8,140,810.3,110.3,12.7,224.7,57.4,44.9,56.6,18.8,166,118.9,170.2,247.2,292.5,-164,-205.5
,2014,"16,029.00","1,574.10","1,375.10",199,885.4,419.5,381.9,..,84.1,631.3,57.8,483.8,5.8,83.9,"3,633.90",455.9,"2,403.30",38.3,7.8,54.5,480.7,4.2,189.3,860,260.7,6,46.9,91.8,30,45.6,41.3,99.2,124.8,32.6,34.4,46.7,608.4,327.6,0.5,52.8,178.6,48.8,"2,877.70",322.5,722.7,241.7,15.5,231.6,844.7,132.4,8.2,13.6,15.1,17.1,18.7,246.3,15.7,31.9,474,29.1,12.1,432.8,"1,261.50",90.5,50.7,30.6,122.3,14,95.7,67.6,35.8,55.8,30,93.4,177.8,10.3,14,29.2,253.9,30.9,22,37,129.3,62.7,66.6,"1,042.00",717.3,173.1,151.7,"1,055.00",121.1,46.9,107.2,84.3,177.5,101.7,47.5,147.3,64.7,156.8,830.9,111.7,12.6,225.7,60.5,46.6,58.2,18.6,175.8,121.2,165.4,265.5,286.6,-175.3,-211.5
,2015,"16,352.00","1,632.70","1,430.60",202.1,892.5,429.6,381.6,..,81.3,646.5,57.9,492.7,5.7,90.2,"3,706.90",471.3,"2,485.80",38.5,8.4,57.7,496.8,3.9,144.5,866.5,262.3,6,47.5,88.7,29.2,41.7,42,105.9,126.7,34.3,35,47.1,633.2,343.4,0.9,55.3,183.4,50.2,"2,805.80",291.5,791.1,246.6,15.8,238.3,720.4,136.1,8.4,13.6,16.2,16.8,19.4,242.1,16.8,32.7,503.6,30.6,12.5,460.5,"1,286.90",85.1,47.5,30.4,128.1,14.9,101.9,69.9,36.2,59.1,32.6,95.2,173.1,10.5,13.2,29,270.9,31.8,20.6,36.8,132.5,61.6,70.9,"1,078.40",748.1,177.8,152.5,"1,105.60",122.7,50.2,111.6,89.2,179.3,100.5,49.9,160.4,71.4,170.3,861.6,110.8,12.1,236.9,64.6,47.5,60.7,17.9,186.5,124.7,199.3,287.7,306.3,-189.5,-205.2
,2016,"16,653.00","1,637.30","1,424.80",212.5,918.1,443.2,398.1,..,76.8,623,54.2,478.5,5.5,84.7,"3,780.10",482.5,"2,553.90",38.6,8.8,59.9,492.1,4.1,140.2,874.4,259.9,6.1,46.4,87.9,30.9,45.2,43.1,109.4,124.9,35.2,37.9,47.6,654.6,350.5,2.7,60.2,189.6,51.6,"2,883.50",269.8,845,251.6,15.8,245,744.5,133.6,8.6,14,16.9,16.5,20.2,250.8,17.7,33.5,538.5,30.8,12.2,495.5,"1,279.30",79.5,49.7,28,127,14,96.1,67.8,35.3,61.1,35.4,94.7,184.8,10.3,12.3,30.6,268.6,30.5,19,34.6,135.4,62.7,72.7,"1,102.80",766.3,180.4,156,"1,159.50",124.3,56.1,111.7,107.5,186.4,102.1,52.6,164.5,74.6,179.7,876.3,113.7,12.7,243,64.1,45.7,62.5,17.4,191.7,125.6,190,284.8,348.3,-222,-221.2
,2017,"17,115.00","1,651.50","1,439.10",212.4,925,450.7,405.7,..,68.5,619.1,53.6,474.4,5.6,85.5,"3,858.70",489.7,"2,595.80",41.1,9.1,62.1,500.7,4,156.2,882,256.3,6.2,45.2,84.8,30.8,46.3,46.9,113.3,131.5,34.4,37.5,48.9,665.3,351,5,59.1,196.9,53.2,"3,023.00",252.7,882,264,16.9,268.6,816.4,138.4,9,14.5,17.6,16.8,20.9,252.1,18.4,34.7,563.5,31.1,13.6,518.8,"1,304.30",82,52.2,26.7,135.8,14.1,97.5,71.4,35.1,62.1,37.3,98.6,186.9,9.5,13.3,32.2,266,30.3,17.3,36.1,139.9,66.7,73.2,"1,144.00",794.9,181.5,167.6,"1,263.10",127.3,73.8,113.9,171.2,197.6,103,55.9,170.6,71.8,178,908.4,118.4,12.5,249.9,67.4,43.9,64.4,17.6,203.5,130.9,167.2,310.2,344.9,-250.2,-237.6
Prince Edward Island,1997,"1,939.00",208.8,180.5,28.3,105.4,42.3,44.4,..,18.8,101.5,9,76.8,4.5,11.3,478.3,78.9,295.9,7.7,0.6,3.3,21.6,1.1,69.1,117.3,27.8,1.9,8.1,14.3,4.1,8.5,6.5,12.6,15.2,4.9,6,7.3,63.9,34.2,..,4.7,23,2,276.9,38.2,40.9,17,4,26.3,85,18.5,2.3,1.6,13.2,2,2.1,16.9,3.9,5.3,41.6,2.4,1.4,37.9,173.9,17.5,6.7,5.9,11.7,2,11.7,11,8.6,7.1,2.7,15,11.4,2.3,3.1,5.5,32.8,5.7,7.8,5.6,26.9,9.7,17.3,188.8,117.5,26.9,44.4,147.5,28.8,3.8,10.5,10.4,31.7,22,3.7,16.7,3.5,16.4,118.1,14.9,1.5,27.8,8.4,5.9,11.1,5.4,28,15,-110,28.2,68.8,-83.1,-123.9
,1998,"2,004.00",216.2,185,31.2,110.6,43,48,..,19.6,102.1,9.1,76.8,4.5,11.6,476.2,80.8,303.1,8,0.6,3.5,21.5,1,57.8,124.3,30.3,2,8.8,15.7,4.2,8.6,6.7,13.1,15.4,5.2,6.7,7.7,68,37.4,..,5,23.4,2.2,286.1,37.5,40.9,17.6,4.5,28.9,80.8,19.1,2.3,1.6,22.9,2.4,2,17.1,3,5.5,44.4,2.4,1.4,40.6,181.4,18.4,6.9,6.6,13.3,2.1,12.4,12,8.7,7.9,3,15.5,12.9,2.5,3.2,5.8,30.7,6.1,7.8,5.7,28.9,10.6,18.3,191,118.4,27.9,44.8,158.6,28.5,4.2,12.6,11,35,22,3.8,17.6,3.9,20,121.6,15.6,1.5,28.3,8.1,6.2,11.5,5.2,28.9,16.4,-105.5,26.7,78.8,-89.2,-121.8
